column header,Indicator,Analysis
difficulties_faced_in_replenishing.not_allowed_my_domestic_suppliers,Restocking difficulty - The closure of the borders has not allowed my domestic suppliers to resupply their imported products,%
difficulties_faced_in_replenishing.stop_their_production,Restocking difficulty - Suppliers have had to stop their production,%
difficulties_faced_in_replenishing.suppliers_no_longer,Restocking difficulty - Suppliers no longer have the products I need,%
difficulties_faced_in_replenishing.unable_to_leave,Restocking difficulty - I am unable to leave the camp to resupply,%
difficulties_faced_in_replenishing.the_time_between,Restocking difficulty - The time between order and delivery is now longer,%
difficulties_faced_in_replenishing.transport_of_supplies_between,"Restocking difficulty - Domestically, transport of supplies between districts has slowed down due to the COVID-19 crisis",%
difficulties_faced_in_replenishing.no_longer_access_to_credit,Restocking difficulty - My supplier no longer gives me access to credit,%
difficulties_faced_in_replenishing.don.t_have_enough_money,Restocking difficulty - I don’t have enough money to restock,%
difficulties_faced_in_replenishing.shortage_of_carriers,Restocking difficulty - There is a shortage of carriers to transport supplies,%
difficulties_faced_in_replenishing.wholesalers_no_longer_visit_us,Restocking difficulty - The commercial agents of the companies and wholesalers no longer visit us,%
difficulties_faced_in_replenishing.dontknow,Restocking difficulty - I don’t know,%
difficulties_faced_in_replenishing.other,Restocking difficulty - Other,%
items_are_most_affected.rice,Items affected - Rice,%
items_are_most_affected.oil,Items affected - Oil,%
items_are_most_affected.lentils,Items affected - eggs,%
items_are_most_affected.leafy_greens,Items affected - Leafy_Greens,%
items_are_most_affected.bananas,Items affected - Bananas,%
items_are_most_affected.eggs,Items affected - Eggs,%
items_are_most_affected.fish,Items affected - fresh fish,%
items_are_most_affected.soap,Items affected - Soap,%
items_are_most_affected.powder,Items affected - washing powder,%
items_are_most_affected.paracetamol,Items affected - Paracetamol,%
items_are_most_affected.tarpaulin,Items affected - Tarpaulin,%
vendors_colsed,Average number of vendors closed in past 4 weeks,"Mean, median"
prevent_the_spread_of_COVID19.gel,Measures - Use of antibacterial gel,%
prevent_the_spread_of_COVID19.gloves,Measures - Use of gloves,%
prevent_the_spread_of_COVID19.facemasks,Measures - Use of facemasks,%
prevent_the_spread_of_COVID19.limiting_the_number_people,Measures - Limiting the number of people in the premises at any one time,%
prevent_the_spread_of_COVID19.handwashing_facilities,Measures - Providing handwashing facilities for customers,%
prevent_the_spread_of_COVID19.social_distancing,Measures - Social distancing in queues,%
prevent_the_spread_of_COVID19.implement_a_fence,Measures - Implement a fence or physical barrier through which orders are taken to prevent customers from entering the store,%
prevent_the_spread_of_COVID19.priority_care,Measures - Priority care for older adults,%
prevent_the_spread_of_COVID19.none,Measures - None,%
prevent_the_spread_of_COVID19.other,Measures - Other (please specify),%
witnessed_safety_or_security.no_problems,Security - No security problems,%
witnessed_safety_or_security.theft_of_items,Security - Theft of items during storage (unarmed),%
witnessed_safety_or_security.risk_of_theft,Security - Risk of theft of cash (unarmed),%
witnessed_safety_or_security.risk_of_theft_of_items_business_hours,Security - Risk of theft of items during business hours (unarmed),%
witnessed_safety_or_security.armed_robbery,Security - Armed robbery,%
witnessed_safety_or_security.forced_closure,Security - Forced closure of shop or market by authorities,%
income_changed_to_4_weeks,Income change,"% increased, % decreased, % stayed the same"
customer_visits_change,Customer numbers,"% increased, % decreased, % stayed the same"
stockpiling_behaviors,Witness stockpiling - no,"% yes, % no"
community_members_accessing_markets.no_cash,Customer barriers - Community members have no cash / low purchasing power,%
community_members_accessing_markets.avoiding_markets,Customer barriers - Avoiding markets due to fear of COVID-19,%
community_members_accessing_markets.due_to_aggressive,Customer barriers - Avoiding markets due to aggressive / hoarding behaviours taking place in markets,%
community_members_accessing_markets.due_to_increased_military,Customer barriers - Avoiding markets due to increased military / police presence,%
community_members_accessing_markets.long_waiting_times,Customer barriers - Long waiting times / Long queues at markets,%
community_members_accessing_markets.fear_of_checkpoints,Customer barriers - fear of checkpoints,%
community_members_accessing_markets.community_member,Customer barriers - Community member does not have proper authorization / permission for movement,%
community_members_accessing_markets.challenges,Customer barriers - Challenges due to restricted opening hours,%
community_members_accessing_markets.no_issues,Customer barriers - no issues,%
community_members_accessing_markets.not_sure,Customer barriers - not sure,%
community_members_accessing_markets.other,Customer barriers - Other (specify),%
community_experiencing_more_barriers.have_equal_access,"Groups - No, all have equal access",%
community_experiencing_more_barriers.men,Groups - Men,%
community_experiencing_more_barriers.women,Groups - Women,%
community_experiencing_more_barriers.children,Groups - Children,%
community_experiencing_more_barriers.elderly,Groups - Elderly,%
community_experiencing_more_barriers.with_disabilities,Groups - Persons with disabilities,%
community_experiencing_more_barriers.medical_conditions,Groups - Persons with medical conditions,%
community_experiencing_more_barriers.not_sure,Groups - Not sure,%
community_experiencing_more_barriers.other,Groups - Other (Specify),%
